Date,TRU,DAU,Items,Trans,Items Per Trans,Items per DAU,Conversion,Cash Flow,Return Customer,Time Spend Per Day(seconds)
2018-03-15,629386.9375744679,16032.44289361703,43429.10999999971,3428.0900000000224,17.579999999999938,1.2999999999999994,2.2999999999999803,4527.010000000006,73.54314893617024,64.01068085106388
2018-03-16,630476.918860759,16618.809891500932,43429.109999999666,3428.0900000000315,17.579999999999938,1.2999999999999925,2.2999999999999763,4527.009999999971,60.733960216998256,85.81616636528015
2018-03-17,630518.1852926215,16343.477875318067,43429.10999999959,3428.0899999999956,17.579999999999934,1.2999999999999814,2.29999999999997,4527.009999999913,57.19979643765902,90.14899491094144
2018-03-18,631272.5916309521,16414.827333333313,43429.10999999958,3428.089999999986,17.579999999999934,1.2999999999999796,2.2999999999999687,4527.009999999905,52.81358333333328,101.68524999999993
2018-03-19,631133.4175656307,16603.334558472576,43429.10999999958,3428.0899999999865,17.579999999999934,1.2999999999999798,2.2999999999999687,4527.009999999905,47.86979713603811,79.33996420047735
2018-03-20,642275.1816723155,26872.18349152542,43429.10999999957,3428.089999999979,17.579999999999934,1.2999999999999785,2.2999999999999683,4527.009999999898,47.287570621468994,62.885593220338926
2018-03-21,667171.0979766946,43691.00502118644,43429.109999999564,3428.0899999999715,17.57999999999996,1.299999999999977,2.29999999999998,4527.009999999891,45.130148305084646,71.67564618644067
2018-03-22,688372.6975370911,41845.5437388724,43429.10999999955,3428.0899999999633,17.580000000000076,1.2999999999999754,2.2999999999999936,4527.009999999883,43.33823936696335,80.32225519287837
2018-03-23,657812.2354082719,24972.401442205744,43429.109999999564,3428.0899999999715,17.579999999999956,1.299999999999977,2.29999999999998,4527.009999999891,38.02279957582174,82.83816542948041
2018-03-24,673782.6492864229,28201.255708622408,43429.10999999955,3428.0899999999638,17.580000000000073,1.2999999999999754,2.299999999999993,4527.009999999884,40.19548067393447,93.49889990089207
2018-03-25,665189.6766976262,23405.76146542827,43429.10999999956,3428.0899999999683,17.580000000000005,1.2999999999999763,2.299999999999985,4527.009999999888,41.53782249741995,98.25249742002056
2018-03-26,672413.8062644782,23143.743349420878,43429.10999999955,3428.0899999999606,17.580000000000116,1.299999999999975,2.299999999999998,4527.009999999881,38.34180501930498,85.51810810810817
2018-03-27,653034.2471540725,18831.658469087353,43429.10999999955,3428.0899999999624,17.58000000000009,1.2999999999999752,2.299999999999995,4527.009999999883,37.889106967615255,81.95262021589778
